Place,State,Type,Place Type,In particular,County/Parish/Borough,Country,Division,Jurisdiction
Bonduel,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:bonduel,
Boscobel,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:boscobel,
Bowler,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:bowler,
Boyceville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:boyceville,
Boyd,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:boyd,
Brandon,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:brandon,
Brillion,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:brillion,
Bristol,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:bristol,
Brodhead,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:brodhead,
Brokaw,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:brokaw,
Brookfield,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:brookfield,
Brooklyn,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:brooklyn,
Brown Deer,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:brown_deer,
Brownsville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:brownsville,
Browntown,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:browntown,
Bruce,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:bruce,
Buffalo City,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:buffalo_city,
Burlington,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:burlington,
Butler,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:butler,
Butternut,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:butternut,
Cadott,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cadott,
Caledonia,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:caledonia,
Cambria,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cambria,
Cambridge,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cambridge,
Cameron,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cameron,
Camp Douglas,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:camp_douglas,
Campbellsport,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:campbellsport,
Cascade,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cascade,
Casco,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:casco,
Cashton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cashton,
Cassville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cassville,
Catawba,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:catawba,
Cazenovia,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cazenovia,
Cecil,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cecil,
Cedar Grove,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cedar_grove,
Cedarburg,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:cedarburg,
Centuria,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:centuria,
Chaseburg,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:chaseburg,
Chenequa,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:chenequa,
Chetek,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:chetek,
Chilton,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:chilton,
Chippewa Falls,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:chippewa_falls,
Clayton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:clayton,
Clear Lake,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:clear_lake,
Cleveland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cleveland,
Clinton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:clinton,
Clintonville,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:clintonville,
Clyman,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:clyman,
Cobb,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cobb,
Cochrane,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cochrane,
Colby,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:colby,
Coleman,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:coleman,
Colfax,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:colfax,
Coloma,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:coloma,
Columbus,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:columbus,
Combined Locks,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:combined_locks,
Conrath,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:conrath,
Coon Valley,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:coon_valley,
Cornell,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:cornell,
Cottage Grove,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cottage_grove,
Couderay,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:couderay,
Crandon,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:crandon,
Crivitz,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:crivitz,
Cross Plains,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:cross_plains,
Cuba City,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:cuba_city,
Cudahy,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:cudahy,
Cumberland,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:cumberland,
Curtiss,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:curtiss,
Dallas,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:dallas,
Dane,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:dane,
Darien,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:darien,
Darlington,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:darlington,
De Pere,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:de_pere,
De Soto,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:de_soto,
Deer Park,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:deer_park,
Deerfield,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:deerfield,
Deforest,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:deforest,
Delafield,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:delafield,
Delavan,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:delavan,
Denmark,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:denmark,
Dickeyville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:dickeyville,
Dodgeville,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:dodgeville,
Dorchester,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:dorchester,
Dousman,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:dousman,
Downing,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:downing,
Doylestown,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:doylestown,
Dresser,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:dresser,
Durand,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:durand,
Eagle,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:eagle,
Eagle River,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:eagle_river,
East Troy,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:east_troy,
Eastman,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:eastman,
Eau Claire,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:eau_claire,
Eden,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:eden,
Edgar,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:edgar,
Edgerton,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:edgerton,
Egg Harbor,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:egg_harbor,
Eland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:eland,
Elderon,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:elderon,
Eleva,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:eleva,
Elk Mound,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:elk_mound,
Elkhart Lake ,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:elkhart_lake,
Elkhorn,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:elkhorn,
Ellsworth,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ellsworth,
Elm Grove,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:elm_grove,
Elmwood,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:elmwood,
Elmwood Park,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:elmwood_park,
Elroy,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:elroy,
Embarrass,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:embarrass,
Endeavor,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:endeavor,
Ephraim,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ephraim,
Ettrick,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ettrick,
Evansville,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:evansville,
Exeland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:exeland,
Fairland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fairchild,
Fairwater,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fairwater,
Fall Creek,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fall_creek,
Fall River,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fall_river,
Fennimore,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:fennimore,
Fenwood,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fenwood,
Ferryville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ferryville,
Fitchburg,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:fitchburg,
Fond du Lac,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:fond_du_lac,
Fontana-on-Geneva Lake,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fontana-on-geneva_lake,
Footville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:footville,
Forestville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:forestville,
Fort Atkinson,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:fort_atkinson,
Fountain City,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:fountain_city,
Fox Lake,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:fox_lake,
Fox Point,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fox_point,
Francis Creek,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:francis_creek,
Franklin,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:franklin,
Frederic,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:frederic,
Fredonia,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fredonia,
Fremont,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:fremont,
Friendship,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:friendship,
Friesland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:friesland,
Galesville,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:galesville,
Gays Mills,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:gays_mills,
Genoa,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:genoa,
Genoa City,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:genoa_city,
Germantown,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:germantown,
Gillett,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:gillett,
Gilman,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:gilman,
Glen Flora,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:glen_flora,
Glenbeulah,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:glenbeulah,
Glendale,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:glendale,
Glenwood City,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:glenwood_city,
Grafton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:grafton,
Granton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:granton,
Grantsburg,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:grantsburg,
Gratiot,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:gratiot,
Green Bay,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:green_bay,
Green Lake,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:green_lake,
Greendale,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:greendale,
Greenfield,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:greenfield,
Greenwood,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:greenwood,
Gresham,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:gresham,
Hales Corners,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hales_corners,
Hammond,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hammond,
Hancock,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hancock,
Hartford,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:hartford,
Hartland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hartland,
Hatley,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hatley,
Haugen,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:haugen,
Hawkins,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hawkins,
Hayward,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:hayward,
Hazel Green,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hazel_green,
Hewitt,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hewitt,
Highland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:highland,
Hilbert,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hilbert,
Hillsboro,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:hillsboro,
Hixton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hixton,
Hobart,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hobart,
Hollandale,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hollandale,
Holmen,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:holmen,
Horicon,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:horicon,
Hortonville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hortonville,
Howard,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:howard,
Howards Grove,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:howards_grove,
Hudson,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:hudson,
Hurley,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:hurley,
Hustisford,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hustisford,
Hustler,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:hustler,
Independence,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:independence,
Ingram,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ingram,
Iola,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:iola,
Iron Ridge,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:iron_ridge,
Ironton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ironton,
Jackson,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:jackson,
Janesville,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:janesville,
Jefferson,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:jefferson,
Johnson Creek,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:johnson_creek,
Junction City,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:junction_city,
Juneau,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:juneau,
Kaukauna,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:kaukauna,
Kekoskee,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kekoskee,
Kellnersville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kellnersville,
Kendall,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kendall,
Kennan,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kennan,
Kenosha,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:kenosha,
Kewaskum,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kewaskum,
Kewaunee,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:kewaunee,
Kiel,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:kiel,
Kimberly,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kimberly,
Kingston,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kingston,
Knapp,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:knapp,
Kohler,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kohler,
Kronenwetter,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:kronenwetter,
La Crosse,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:la_crosse,
La Farge,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:la_farge,
La Valle,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:la_valle,
Lac La Belle,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lac_la_belle,
Ladysmith,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:ladysmith,
Lake Delton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lake_delton,
Lake Geneva,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:lake_geneva,
Lake Hallie,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lake_hallie,
Lake Mills,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:lake_mills,
Lake Nebagamon,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lake_nebagamon,
Lancaster,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:lancaster,
Lannon,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lannon,
Lena,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lena,
Lime Ridge,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lime_ridge,
Linden,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:linden,
Little Chute,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:little_chute,
Livingston,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:livingston,
Lodi,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:lodi,
Loganville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:loganville,
Lohrville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lohrville,
Lomira,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lomira,
Lone Rock,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lone_rock,
Lowell,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lowell,
Loyal,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:loyal,
Lublin,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lublin,
Luck,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:luck,
Luxemburg,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:luxemburg,
Lyndon Station,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lyndon_station,
Lynxville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:lynxville,
Madison,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:madison,
Maiden Rock,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:maiden_rock,
Manawa,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:manawa,
Manitowoc,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:manitowoc,
Maple Bluff,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:maple_bluff,
Marathon City,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:marathon_city,
Maribel,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:maribel,
Marinette,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:marinette,
Marion,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:marion,
Markesan,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:markesan,
Marquette,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:marquette,
Marshall,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:marshall,
Marshfield,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:marshfield,
Mason,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mason,
Mattoon,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mattoon,
Mauston,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:mauston,
Mayville,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:mayville,
Mazomanie,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mazomanie,
McFarland,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mcfarland,
Medford,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:medford,
Mellen,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:mellen,
Melrose,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:melrose,
Melvina,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:melvina,
Menasha,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:menasha,
Menomonee Falls,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:menomonee_falls,
Menomonie,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:menomonie,
Mequon,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:mequon,
Merrill,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:merrill,
Merrillan,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:merrillan,
Merrimac,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:merrimac,
Merton,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:merton,
Middleton,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:middleton,
Milladore,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:milladore,
Milltown,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:milltown,
Milton,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:milton,
Milwaukee,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:milwaukee,
Mineral Point,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:mineral_point,
Minong,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:minong,
Mishicot,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mishicot,
Mondovi,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:mondovi,
Monona,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:monona,
Monroe,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:monroe,
Montello,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:montello,
Montfort,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:montfort,
Monticello,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:monticello,
Montreal,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:montreal,
Mosinee,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:mosinee,
Mount Calvary,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mount_calvary,
Mount Hope,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mount_hope,
Mount Horeb,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mount_horeb,
Mount Pleasant,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mount_pleasant,
Mount Sterling,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mount_sterling,
Mukwonago,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:mukwonago,
Muscoda,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:muscoda,
Muskego,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:muskego,
Nashotah,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:nashotah,
Necedah,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:necedah,
Neenah,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:neenah,
Neillsville,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:neillsville,
Nekoosa,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:nekoosa,
Nelson,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:nelson,
Nelsonville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:nelsonville,
Neosho,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:neosho,
Neshkoro,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:neshkoro,
New Auburn,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:new_auburn,
New Berlin,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:new_berlin,
New Glarus,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:new_glarus,
New Holstein,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:new_holstein,
New Lisbon,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:new_lisbon,
New London,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:new_london,
New Richmond,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:new_richmond,
Newburg,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:newburg,
Niagara,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:niagara,
Nichols,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:nichols,
North Bay,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:north_bay,
North Fond du Lac,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:north_fond_du_lac,
North Freedom,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:north_freedom,
North Hudson,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:north_hudson,
North Prairie,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:north_prairie,
Norwalk,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:norwalk,
Oak Creek,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:oak_creek,
Oakdale,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:oakdale,
Oakfield,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:oakfield,
Oconomowoc,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:oconomowoc,
Oconomowoc Lake,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:oconomowoc_lake,
Oconto,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:oconto,
Oconto Falls,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:oconto_falls,
Ogdensburg,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ogdensburg,
Oliver,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:oliver,
Omro,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:omro,
Onalaska,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:onalaska,
Ontario,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:ontario,
Oostburg,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:oostburg,
Oregon,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:oregon,
Orfordville,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:orfordville,
Osceola,WI,Government,Village,,,US,ocd-division/country:us/state:wi/place:osceola,
Oshkosh,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:oshkosh,
Osseo,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:osseo,
Owen,WI,Government,City,,,US,ocd-division/country:us/state:wi/place:owen,
