Place,State,Type,Place Type,In particular,County/Parish/Borough,Country,Division,Jurisdiction
Tripp,WI,Government,Town,,Bayfield County,US,ocd-division/country:us/state:wi/county:bayfield/place:tripp,
Washburn,WI,Government,Town,,Bayfield County,US,ocd-division/country:us/state:wi/county:bayfield/place:washburn,
Eaton,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:eaton,
Glenmore,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:glenmore,
Green Bay,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:green_bay,
Holland,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:holland,
Humboldt,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:humboldt,
Lawrence,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:lawrence,
Ledgeview,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:ledgeview,
Morrison,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:morrison,
New Denmark,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:new_denmark,
Pittsfield,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:pittsfield,
Rockland,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:rockland,
Scott,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:scott,
Wrightstown,WI,Government,Town,,Brown County,US,ocd-division/country:us/state:wi/county:brown/place:wrightstown,
Alma,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:alma,
Belvidere,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:belvidere,
Buffalo,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:buffalo,
Canton,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:canton,
Cross,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:cross,
Dover,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:dover,
Gilmanton,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:gilmanton,
Glencoe,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:glencoe,
Lincoln,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:lincoln,
Maxville,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:maxville,
Milton,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:milton,
Modena,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:modena,
Mondovi,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:mondovi,
Montana,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:montana,
Naples,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:naples,
Nelson,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:nelson,
Waumandee,WI,Government,Town,,Buffalo County,US,ocd-division/country:us/state:wi/county:buffalo/place:waumandee,
Anderson,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:anderson,
Blaine,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:blaine,
Daniels,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:daniels,
Dewey,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:dewey,
Grantsburg,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:grantsburg,
Jackson,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:jackson,
La Follette,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:la_follette,
Lincoln,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:lincoln,
Meenon,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:meenon,
Oakland,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:oakland,
Roosevelt,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:roosevelt,
Rusk,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:rusk,
Sand Lake,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:sand_lake,
Scott,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:scott,
Siren,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:siren,
Swiss,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:swiss,
Trade Lake,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:trade_lake,
Union,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:union,
Webb Lake,WI,Government,Town,,Burnett County,US,ocd-division/country:us/state:wi/county:burnett/place:webb_lake,
